last_update,station_id,station_name,physical_configuration,latitude,longitude,altitude,address,capacity,rental_methods,groups,obcn,nearby_distance,num_bikes_available,mechanical_bikes_available,electric_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,is_charging_station,status
2025-02-16 23:53:30,7000,Fort York  Blvd / Capreol Ct,REGULAR,43.639832,-79.395954,,Fort York  Blvd / Capreol Ct,47,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Fort York - Entertainment District'",647-643-9607,500.0,22,21,1,0,24,1,1,1,1,2025-02-16 23:53:07,0,IN_SERVICE
2025-02-16 23:53:30,7001,Wellesley Station Green P,ELECTRICBIKESTATION,43.66496415990742,-79.38355031526893,,Yonge / Wellesley,23,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'E-Charging ','South','Church Wellesley / Yorkville'",416-617-9576,500.0,9,8,1,0,14,0,1,1,1,2025-02-16 23:51:47,1,IN_SERVICE
2025-02-16 23:53:30,7002,St. George St / Bloor St W,REGULAR,43.66713121831853,-79.3995550638237,,St. George St / Bloor St W,17,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','U of T - Hospital Row'",647-643-9615,500.0,3,3,0,0,13,1,1,1,1,2025-02-16 23:51:55,0,IN_SERVICE
2025-02-16 23:53:30,7003,Madison Ave / Bloor St W,REGULAR,43.66701830465472,-79.4027958687172,,Madison Ave / Bloor St W,15,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Bloor St W / Annex'",647-631-4587,500.0,4,4,0,0,11,0,1,1,1,2025-02-16 23:53:11,0,IN_SERVICE
2025-02-16 23:53:30,7005,King St W / York St,REGULAR,43.6480008,-79.383177,0.0,King St W / York St,21,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Financial District'",647-643-9693,500.0,15,15,0,0,6,0,1,1,1,2025-02-16 23:52:46,0,IN_SERVICE
2025-02-16 23:53:30,7006,Bay St / College St (East Side),REGULAR,43.660439,-79.385525,,Bay St / College St (East Side),31,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','U of T - Hospital Row'",416-569-2349,500.0,10,10,0,1,19,1,1,1,1,2025-02-16 23:51:30,0,IN_SERVICE
2025-02-16 23:53:30,7007,College St / Huron St,REGULAR,43.658148,-79.398167,,College St / Huron St,19,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','U of T - Hospital Row'",647-625-3582,500.0,2,1,1,0,16,1,1,1,1,2025-02-16 23:50:51,0,IN_SERVICE
2025-02-16 23:53:30,7008,Wellesley St W / Queen's Park Cres,REGULAR,43.663376,-79.392125,,Wellesley St W / Queen's Park Cres,18,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','U of T - Hospital Row'",647-643-9648,500.0,14,14,0,1,2,1,1,1,1,2025-02-16 23:52:15,0,IN_SERVICE
2025-02-16 23:53:30,7009,King St E / Jarvis St,REGULAR,43.650325,-79.372287,,King St E / Jarvis St,25,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Financial District'",647-620-8649,500.0,7,7,0,2,16,0,1,1,1,2025-02-16 23:51:20,0,IN_SERVICE
2025-02-16 23:53:30,7010,King St W / Spadina Ave,REGULAR,43.645323,-79.395003,,King St W / Spadina Ave,19,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Fort York - Entertainment District'",647-202-6537,500.0,6,6,0,0,11,0,1,1,1,2025-02-16 23:50:52,0,IN_SERVICE
2025-02-16 23:53:30,7012,Elizabeth St / Edward St (Bus Terminal),REGULAR,43.656026,-79.385327,,Elizabeth St / Edward St (Bus Terminal),15,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Financial District'",647-643-9665,500.0,6,6,0,0,9,0,1,1,1,2025-02-16 23:52:37,0,IN_SERVICE
2025-02-16 23:53:30,7013,Scott St / The Esplanade,REGULAR,43.64659663170443,-79.37530913867988,0.0,Scott St / The Esplanade,19,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Financial District'",416-666-6440,500.0,11,11,0,1,7,0,1,1,1,2025-02-16 23:53:19,0,IN_SERVICE
2025-02-16 23:53:30,7014,Sherbourne St / Carlton St (Allan Gardens),REGULAR,43.663102,-79.373181,,Sherbourne St / Carlton St (Allan Gardens),17,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'East','Church Wellesley / Yorkville'",416-710-6764,500.0,5,5,0,0,12,0,1,1,1,2025-02-16 23:53:15,0,IN_SERVICE
2025-02-16 23:53:30,7015,King St W / Bay St (West Side),REGULAR,43.64852,-79.380576,,King St W / Bay St (West Side),38,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Financial District'",416-671-7595,500.0,10,10,0,0,26,1,1,1,1,2025-02-16 23:51:53,0,IN_SERVICE
2025-02-16 23:53:30,7016,Bay St / Queens Quay W (Ferry Terminal),REGULAR,43.640978,-79.376785,,Bay St / Queens Quay W (Ferry Terminal),34,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Watefront'",647-271-1378,500.0,31,31,0,0,3,0,1,1,1,2025-02-16 23:50:32,0,IN_SERVICE
2025-02-16 23:53:30,7017,Widmer St / Adelaide St W - SMART,SMARTMAPFRAME,43.647547634759206,-79.39155200496292,0.0,Widmer St / Adelaide St W,12,"'KEY','TRANSITCARD','PHONE'","'South','Fort York - Entertainment District'",647-631-9958,500.0,4,4,0,0,8,0,1,1,1,2025-02-16 23:53:22,0,IN_SERVICE
2025-02-16 23:53:30,7018,Bremner Blvd / Rees St,REGULAR,43.641529,-79.386741,,Bremner Blvd / Rees St,49,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Watefront'",647-669-0947,500.0,38,38,0,0,11,0,1,1,1,2025-02-16 23:51:47,0,IN_SERVICE
2025-02-16 23:53:30,7019,Temperance St Station,VAULT,43.650945,-79.379498,,Temperance St. Station,55,"'KEY','TRANSITCARD','PHONE'","'South','Financial District'",9 Temperance St .,500.0,28,28,0,0,27,0,1,1,1,2025-02-16 23:52:17,0,IN_SERVICE
2025-02-16 23:53:30,7020,Phoebe St / Spadina Ave,REGULAR,43.650033,-79.396555,,Phoebe St / Spadina Ave,31,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Fort York - Entertainment District'",647-621-5766,500.0,16,16,0,0,14,0,1,1,1,2025-02-16 23:51:14,0,IN_SERVICE
2025-02-16 23:53:30,7021,Bay St / Albert St,REGULAR,43.653264,-79.382458,,Bay St / Albert St,63,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Financial District'",647-643-9652,500.0,25,25,0,0,34,2,1,1,1,2025-02-16 23:50:55,0,IN_SERVICE
2025-02-16 23:53:30,7022,Simcoe St / Queen St W,REGULAR,43.65049,-79.3873,,Simcoe St / Queen St W,39,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Financial District'",647-625-3265,500.0,19,19,0,1,17,1,1,1,1,2025-02-16 23:53:13,0,IN_SERVICE
2025-02-16 23:53:30,7023,College St / Borden St,REGULAR,43.6571,-79.4056,,College St / Borden St,11,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','College St - Harbord St'",647-643-9629,500.0,5,5,0,2,4,0,1,1,1,2025-02-16 23:53:26,0,IN_SERVICE
2025-02-16 23:53:30,7024,Dundonald St / Church St,REGULAR,43.66663,-79.38148,0.0,Dundonald St / Church St,39,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Church Wellesley / Yorkville'",647-631-9859,500.0,10,10,0,0,29,0,1,1,1,2025-02-16 23:50:49,0,IN_SERVICE
2025-02-16 23:53:30,7025,Ted Rogers Way / Bloor St E,REGULAR,43.671293,-79.380471,,Ted Rogers Way / Bloor St E,23,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'East','Church Wellesley / Yorkville'",647-631-9970,500.0,1,1,0,0,22,0,1,1,1,2025-02-16 23:52:12,0,IN_SERVICE
2025-02-16 23:53:30,7026,Bay St / St. Joseph St,REGULAR,43.665527,-79.387499,,Bay St / St. Joseph St,14,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','U of T - Hospital Row'",416-666-0783,500.0,5,5,0,0,7,1,1,1,1,2025-02-16 23:51:46,0,IN_SERVICE
2025-02-16 23:53:30,7027,Beverley St / Dundas St W,REGULAR,43.652823,-79.393388,,Beverley  St / Dundas St W,31,"'KEY','TRANSITCARD','CREDITCARD','PHONE'","'South','Fort York - Entertainment District'",647-621-6739,500.0,18,18,0,0,13,0,1,1,1,2025-02-16 23:51:20,0,IN_SERVICE
